Year,Translation,Roots,POS,Note
6000,December,one+cold,N,Ventiosh
6000,1 of winter/december 1,breath+flower,N,Rithwildrem
6000,2 of winter/december 2,death+berry,N,Galbery
6000,3 of winter/december 3,???,N,Brezgilly
6000,4 of winter/december 4,???,N,Stormprive
6000,5 of winter/december 5,breath+tool,N,Windhorn
6000,6 of winter/december 6,flowing+root,N,Mistroot
6000,7 of winter/december 7,morning+tool,N,Dawnthorn
6000,8 of winter/december 8,death+flower,N,Dappledviolet
6000,9 of winter/december 9,breath+tree,N,Windtwig
6000,10 of winter/december 10,breath+movement,N,Galespad
6000,11 of winter/december 11,showing+jealousy,N,Narcissus
6000,12 of winter/december 12,air+tree,N,Windelm
6000,13 of winter/december 13,flowing+tool,N,Mistifen
6000,14 of winter/december 14,showing+cold,N,Galblom
6000,15 of winter/december 15,breath+dream,N,Windrith
6000,16 of winter/december 16,dance+wisdom,N,Dansinath
6000,17 of winter/december 17,twilight+bloom,N,Twilibloom
6000,18 of winter/december 18,star+plant,N,Starsweed
6000,19 of winter/december 19,moon+beauty,N,Mooncheris
6000,20 of winter/december 20,breath+joining,N,Windcord
6000,21 of winter/december 21,night+tree,N,Nightroot
6000,22 of winter/december 22,twilight+???,N,Duspars
6000,23 of winter/december 23,twilight+food,N,Twilispoon
6000,24 of winter/december 24,day+flower,N,Daydaisy
6000,25 of winter/december 25,star+???,N,Starfis
6000,26 of winter/december 26,flowing+flower,N,Mistdande
6000,27 of winter/december 27,blue+breath,N,Windwoad
6000,28 of winter/december 28,vine+twilight,N,Twilifern
6000,29 of winter/december 29,moon+fire,N,Moonash
6000,30 of winter/december 30,breath+???,N,Galedibble
6000,January,two+cold,N,Frohsten
6000,31 of winter/January 31,???,N,Frohstlef
6000,32 of winter/January 32,cold+ground,N,Wintersnap
6000,33 of winter/January 33,darkness+flower,N,Níghtbloom
6000,34 of winter/January 34,ice+berry,N,Icepear
6000,35 of winter/January 35,water+sharpness,N,Snowbristle
6000,36 of winter/January 36,vine+ice,N,Frostfern
6000,37 of winter/January 37,moon+center,N,Mooncrést
6000,38 of winter/January 38,sun+sweet,N,Sunnectar
6000,39 of winter/January 39,spirit+berry,N,Spirbery
6000,40 of winter/January 40,ice+fog,N,Frostfoge
6000,41 of winter/January 41,star+tar,N,Starwax
6000,42 of winter/January 42,???,N,Namiloray
6000,43 of winter/January 43,star+blue,N,Starwoad
6000,44 of winter/January 44,ice+branch,N,Frostpine
6000,45 of winter/January 45,kindness+beauty,N,Rashelwen
6000,46 of winter/January 46,tool+joining,N,Thornweave
6000,47 of winter/January 47,???,N,Nicypres
6000,48 of winter/January 48,vine+cold,N,Winterivy
6000,49 of winter/January 49,moon+earth,N,Moonjuniper
6000,20 of winter/January 20,ice+???,N,Icetole
6000,51 of winter/January 51,star+tree,N,Starmaple
6000,52 of winter/January 52,twilight+plant,N,Duskheather
6000,53 of winter/January 53,ice+plant,N,Frostreed
6000,54 of winter/January 54,branch+food,N,Startherb
6000,55 of winter/January 55,darkness+sound,N,Nightchirp
6000,56 of winter/January 56,star+showing,N,Stardush
6000,57 of winter/January 57,moon+tree,N,Moonbark
6000,58 of winter/January 58,earth+showing,N,Earthem
6000,59 of winter/January 59,value+speaking,N,Velarum
6000,60 of winter/January 60,star+home,N,Starhovel
6000,February,three+cold,N,Nivost
6000,61 of winter,cold+plant,N,Froshpea
6000,62 of winter,bottom+darkness+stone,N,Nightcoal
6000,63 of winter,darkness+tar,N,Shadowtar
6000,64 of winter,star+stone,N,Starbrimstone
6000,65 of winter,moon+dog,N,Moonhound
6000,66 of winter,dream+flow,N,Dreamlava
6000,67 of winter,earth+plant,N,Earthmoss
6000,68 of winter,earth+food,N,Starfern
6000,69 of winter,ice+dream,N,Frostniter
6000,70 of winter,cold+tool,N,Winterflail
6000,71 of winter,tool+darkness+stone,N,Nightstone
6000,72 of winter,path+value,N,Numkar
6000,73 of winter,darkness+stone,N,Shedowslate
6000,74 of winter,earth+stone,N,Peatstone
6000,75 of winter,ice+fruit,N,Frostbun
6000,76 of winter,light+stone,N,Sparkstone
6000,77 of winter,dream+earth,N,Dreamclay
6000,78 of winter,moon+showing+fruit,N,Moonlime
6000,79 of winter,star+dream,N,Starble
6000,80 of winter,darkness+tool,N,Nighbasket
6000,81 of winter,flower+stone,N,Dremgypsum
6000,82 of winter,food+star,N,Starssalt
6000,83 of winter,moon+stone,N,Mooniron
6000,84 of winter,morning+metal,N,Dawnbrass
6000,85 of winter,star+face,N,Starwhisker
6000,86 of winter,twilight+metal,N,Twilighttin
6000,87 of winter,darkness+metal,N,Shadowlead
6000,88 of winter,twilight+???,N,Duskin
6000,89 of winter,speed+metal,N,Quicksilver
6000,90 of winter,ice+tool,N,Frostscreen
6000,March,one+plant,N,Vindrem
6000,1 of spring,moon+vine,N,Lunevigne
6000,2 of spring,sun+sharpness,N,Solspica
6000,3 of spring,tool+fruit,N,Stellnut
6000,4 of spring,flower+flower,N,Drembloom
6000,5 of spring,wind+animal,N,Vindsteed
6000,6 of spring,mystery+plant,N,Mystsap
6000,7 of spring,sight+stone,N,Mrilgem
6000,8 of spring,eternal+fire,N,Everflame
6000,9 of spring,ice+root,N,Frostroot
6000,10 of spring,eternal+beauty,N,Eternavial
6000,11 of spring,darkness+bloom,N,Shadowbulb
6000,12 of spring,rebirth+plant,N,Féenixflour
6000,13 of spring,cold+fruit,N,Víntergourd
6000,14 of spring,silver+???,N,Silvreséda
6000,15 of spring,sky+branch,N,Skyaspe
6000,16 of spring,darkness+beauty,N,Nightbelle
6000,17 of spring,peace+plant,N,Tlafen
6000,18 of spring,star+life,N,Starzin
6000,19 of spring,sun+flower,N,Soldrem
6000,20 of spring,star+sharpness,N,Starpress
6000,21 of spring,flower+plant,N,Dremhemp
6000,22 of spring,sky+flower,N,Skypech
6000,23 of spring,ice+ship,N,Frostnave
6000,24 of spring,star+flower,N,Starlilis
6000,25 of spring,storm+animal,N,Stormbull
6000,26 of spring,darkness+plant+dream,N,Nightshade
6000,27 of spring,hotness+flower,N,Ascbloom
6000,28 of spring,sun+fruit,N,Sunfruit
6000,29 of spring,star+grain,N,Starbarley
6000,30 of spring,mystery+container,N,Mystbarrel
6000,April,two+plant,N,Foegvel
6000,31 of spring,sky+fruit,N,Skyfruit
6000,32 of spring,moon+sharpness,N,Mooncrísp
6000,33 of spring,storm+beauty,N,Thunderpearl
6000,34 of spring,body+tree,N,Heartroot
6000,35 of spring,storm+feather,N,Stormféther
6000,36 of spring,sound+woods,N,Teshangor
6000,37 of spring,flower+fruit,N,Drémfig
6000,38 of spring,darkness+body,N,Níghtstalk
6000,39 of spring,truth+tree,N,Wísertre
6000,40 of spring,sky+path,N,Cloudfurrow
6000,41 of spring,twilight+face,N,Duskwhísker
6000,42 of spring,moon+lake,N,Moonpool
6000,43 of spring,sight+tree,N,Mrilaple
6000,44 of spring,sky+speech,N,Skyfethr
6000,45 of spring,storm+bird,N,Stormbird
6000,46 of spring,star+root,N,Starroot
6000,47 of spring,ice+water,N,Mooncress
6000,48 of spring,ice+tooth,N,Frostdent
6000,49 of spring,star+fruit,N,Starfruit
6000,50 of spring,star+covering,N,Starharrow
6000,51 of spring,mystery+water,N,Mystbach
6000,52 of spring,darkness+berry,N,Nightberry
6000,53 of spring,speaking+plant,N,Duskmadder
6000,54 of spring,sun+present,N,Sunorb
6000,55 of spring,sky+animal,N,Skyfowl
6000,56 of spring,darkness+food+fruit,N,Nightnut
6000,57 of spring,person+tool,N,Drielthorn
6000,58 of spring,moon+fruit,N,Moonquince
6000,59 of spring,branch+tree,N,Starwood
6000,60 of spring,sky+movement,N,Cloudroll
6000,May,three+plant,N,Luviosh
6000,61 of spring,water+tree,N,Rainlaurel
6000,62 of spring,plant+water,N,Dewmoss
6000,63 of spring,flowing+dream,N,Mistthorn
6000,64 of spring,ice+sharpness+tool,N,Snowpierce
6000,65 of spring,death+animal,N,Stambul
6000,66 of spring,air+plant,N,Rinthyme
6000,67 of spring,protection+moon,N,Moonsponge
6000,68 of spring,dusk+plant,N,Duskdaphne
6000,69 of spring,lake+tree,N,Telpoplar
6000,70 of spring,flowing+fruit,N,Mistquince
6000,71 of spring,darkness+plant+light,N,Nightshade
6000,72 of spring,trunk+mouth,N,Starstalk
6000,73 of spring,???,N,Bayra
6000,74 of spring,flowing+???,N,Misazel
6000,75 of spring,moon+animal,N,Mooncalf
6000,76 of spring,sky+food,N,Sky's Feed
6000,77 of spring,branch+mouth,N,Starlichen
6000,78 of spring,darkness+branch,N,Nightyew
6000,79 of spring,moon+plant,N,Moongrass
6000,80 of spring,flowing+hoe,N,Mistsickle
6000,81 of spring,water+down,N,Raincress
6000,82 of spring,flowing+bloom,N,Mistbloom
6000,83 of spring,morning+plant,N,Dawngrass
6000,84 of spring,water+vine,N,Rainvin
6000,85 of spring,star+animal,N,Starhare
6000,86 of spring,death+blue,N,Twiliwoad
6000,87 of spring,moon+branch,N,Moonhazel
6000,88 of spring,dawn+branch,N,Duslower
6000,89 of spring,flowing+mouth,N,Starwort
6000,90 of spring,ice+movement,N,Frostslide
6000,June,one+height+sun,N,Germspar
6000,1 of summer,morning+bloom,N,Dawnbloom
6000,2 of summer,sky+tree,N,Skybark
6000,3 of summer,moon+tool,N,Moonspear
6000,4 of summer,sun+branch,N,Sunpetal
6000,5 of summer,morning+animal,N,Dawncluck
6000,6 of summer,plant+leaf,N,Melorleaf
6000,7 of summer,tree+star,N,Starbirch
6000,8 of summer,light+container,N,Lightcup
6000,9 of summer,sound+stone,N,Whisperald
6000,10 of summer,home+protection,N,Nestkeep
6000,11 of summer,sword+woods,N,Vekhangor
6000,12 of summer,light+blue,N,Gleamwoad
6000,13 of summer,darkness+food,N,Nightmush
6000,14 of summer,wind+movement,N,Rithwil
6000,15 of summer,writing+time,N,Felor Day
6000,16 of summer,water+plant,N,Dewlettuce
6000,17 of summer,warmth+tree,N,Frostlarch
6000,18 of summer,darkness+dream+flower,N,Darkbloom
6000,19 of summer,root+earth,N,Starroot
6000,20 of summer,sweet+home,N,Honeyhall
6000,21 of summer,plant+protection,N,Seedguard
6000,22 of summer,flowing+leaf,N,Mistleaf
6000,23 of summer,life+tree,N,Heartree
6000,24 of summer,speed+plant,N,Swiftgreen
6000,25 of summer,sky+feather,N,Skyfeather
6000,26 of summer,death+smell,N,Duskscent
6000,27 of summer,wind+flower,N,Windflower
6000,28 of summer,thought+flower,N,Thoughtbloom
6000,29 of summer,darkness+fruit,N,Nightberry
6000,30 of summer,plant+???,N,Sproutbles
6000,July,two+height+sun,N,Thermiblase
6000,31 of summer,dream+star+grain,N,Startriticale
6000,32 of summer,wisdom+plant,N,Moonmullen
6000,33 of summer,sun+dream+fruit,N,Sanfruta
6000,34 of summer,plant+tool+woods,N,Melorethangor
6000,35 of summer,day+animal,N,Dayram
6000,36 of summer,dawn+plant,N,Dawnfern
6000,37 of summer,dream+darkness,N,Nightwood
6000,38 of summer,sun+dream+plant,N,Sunthistle
6000,39 of summer,berry+night,N,Twilightberry
6000,40 of summer,water+protection,N,Rainkeeper
6000,41 of summer,life+food,N,Heartbread
6000,42 of summer,sea+stone,N,Seaspire
6000,43 of summer,morning+writing,N,Dawnfelor
6000,44 of summer,leaf+branch,N,Starherb
6000,45 of summer,dream+moon+animal,N,Moonewe
6000,46 of summer,dream+plant,N,Dreammallow
6000,47 of summer,berry+branch,N,Starflax
6000,48 of summer,sweet+fruit,N,Sweetnut
6000,49 of summer,death+tree,N,Twilightroot
6000,50 of summer,water+home,N,Wetgate
6000,51 of summer,sun+circle,N,Sunwheel
6000,52 of summer,dark+fruit,N,Duskberry
6000,53 of summer,moon+wisdom,N,Moonlent
6000,54 of summer,branch+plant,N,Staranise
6000,55 of summer,water+tool,N,Waterwhisker
6000,56 of summer,darkness+plant,N,Nightmyrtle
6000,57 of summer,value+flower,N,Goldbloom
6000,58 of summer,moon+bloom,N,Moonbloom
6000,59 of summer,sky+person,N,Cloudmun
6000,60 of summer,center+path+dream,N,Lhelnumly
6000,August,three+height+sun,N,Floreart
6000,61 of summer,morning+flower,N,Dawnrose
6000,62 of summer,sound+tree,N,Thunderoak
6000,63 of summer,covering+plant,N,Veilfern
6000,64 of summer,branch+sharpness,N,Starthorn
6000,65 of summer,darkness+???,N,Nightahn
6000,66 of summer,dream+tool,N,Drembell
6000,67 of summer,moon+flower,N,Moonlily
6000,68 of summer,earth+hat,N,Earthcap
6000,69 of summer,water+flower,N,Rainblossom
6000,70 of summer,star+action,N,Starharvest
6000,71 of summer,twilight+tool,N,Dusktang
6000,72 of summer,morning+sound,N,Dawnvox
6000,73 of summer,sun+tool,N,Sunstaff
6000,74 of summer,tree+sound,N,Palmwhisper
6000,75 of summer,sweet+action,N,Silkspinner
6000,76 of summer,life+flower,N,Healbloom
6000,77 of summer,branch+tool,N,Starpim
6000,78 of summer,value+joining,N,Goldweave
6000,79 of summer,darkness+moon+plant,N,Shadegreen
6000,80 of summer,leaf+tool,N,Leafcut
6000,81 of summer,dream+flowing+flower,N,Tideflower
6000,82 of summer,dusk+sound,N,Duskbell
6000,83 of summer,person+light,N,Selitha
6000,84 of summer,dream+tree,N,Dremroot
6000,85 of summer,moon+memory,N,Tlunalorum
6000,86 of summer,fire+tree,N,Charwood
6000,87 of summer,air+dream+plant,N,Zephyrherb
6000,88 of summer,darkness+blue,N,Nightblue
